SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,5274 Del Mar Mesa Rd,San Diego,CA,92130,4895000,6,9.0,Carmel Valley,9996,550598,2004,29,Garage,594,Active,,,,2015-04-06,4995000,2002-05-01,610000.0,http://www.redfin.com/CA/San-Diego/5274-Del-Mar-Mesa-Rd-92130/home/6484873,San Diego County's Regional Multiple Listing Service (SANDICOR),140057947,Coldwell Banker Res. Brokerage,N,Y,32.943035,-117.206053,false
MLS Listing,Vacant Land,0000 Toyon Mesa Ofc Toyon (Unable to map),San Diego,CA,92130,2400000,0,,East del Mar,,98881,,0,,213,Active,,,,,2400000,,,http://www.redfin.com/CA/San-Diego/Toyon-Mesa-92130/unit-Toyon/home/101835140,San Diego County's Regional Multiple Listing Service (SANDICOR),150060120,Pacific Sotheby's Int'l Realty,N,Y,,,false
MLS Listing,Single Family Residential,10605 Senda Acuario,San Diego,CA,92130,1585000,4,4.0,Del Mar,3912,15472,2002,4,Garage,242,Active,,,,2016-02-10,1585000,2003-02-13,125000.0,http://www.redfin.com/CA/San-Diego/10605-Senda-Acuario-92130/home/6485089,San Diego County's Regional Multiple Listing Service (SANDICOR),150055348,Starting Point Realty,N,Y,32.9116986,-117.2220887,false
MLS Listing,Single Family Residential,6902 The Preserve Ter,San Diego,CA,92130,6500000,9,8.0,Carmel Valley,8579,54014,2009,11,Garage,157,Active,,,,,6500000,,,http://www.redfin.com/CA/San-Diego/6902-The-Preserve-Ter-92130/home/17206195,San Diego County's Regional Multiple Listing Service (SANDICOR),160000489,Coldwell Banker Res. Brokerage,N,Y,32.945492,-117.172948,false
MLS Listing,Vacant Land,off Toyon Mesa Ct,San Diego,CA,92130,850000,0,,Carmel Valley,,108900,,0,,248,Active,,,,,800500,,,http://www.redfin.com/CA/San-Diego/off-Toyon-Mesa-Ct-92130/home/61704609,San Diego County's Regional Multiple Listing Service (SANDICOR),150054200,Pacific Sotheby's Int'l Realty,N,Y,32.9450292176756,-117.177644344476,false
MLS Listing,Single Family Residential,5299 Meadows Del Mar,San Diego,CA,92130,2900000,5,5.0,Carmel Valley,5902,15682,2002,3,Garage,216,Active,,,,,2900000,2003-02-26,1750000.0,http://www.redfin.com/CA/San-Diego/5299-Meadows-Del-Mar-92130/home/4524766,San Diego County's Regional Multiple Listing Service (SANDICOR),150059863,Michael Anthony Properties,N,Y,32.940618,-117.200094,false
MLS Listing,Single Family Residential,13242 Larkfield,San Diego,CA,92130,955000,4,3.0,Carmel Valley,2093,4487,1999,1,Garage,62,Active,,,,,955000,1998-02-02,319000.0,http://www.redfin.com/CA/San-Diego/13242-Larkfield-Ct-92130/home/4484166,San Diego County's Regional Multiple Listing Service (SANDICOR),160018872,Allison James Estates & Homes,N,Y,32.958722,-117.233895,false
MLS Listing,Single Family Residential,13704 Old El Camino Real,San Diego,CA,92130,2195000,5,6.0,Carmel Valley,5508,9589,2016,3,Garage,61,Active,,,,,2195000,,,http://www.redfin.com/CA/San-Diego/13704-Old-El-Camino-Real-92130/home/17203441,San Diego County's Regional Multiple Listing Service (SANDICOR),160018978,Pacific Sotheby's Int'l Realty,N,Y,32.966979,-117.231747,false
MLS Listing,Single Family Residential,3998 San Augustine,San Diego,CA,92130,899000,3,2.0,Carmel Valley,1821,5889,1985,5,Garage,28,Active,,,,,899000,,,http://www.redfin.com/CA/San-Diego/3998-San-Augustine-Way-92130/home/4503277,San Diego County's Regional Multiple Listing Service (SANDICOR),160025680,Elevated Estates,N,Y,32.940288,-117.224937,false
MLS Listing,Single Family Residential,4760 Sunset Heights Ct,San Diego,CA,92130,1525000,6,5.0,Carmel Valley,3922,8340,2004,7,Garage,34,Active,,,,,1525000,2004-09-30,1003500.0,http://www.redfin.com/CA/San-Diego/4760-Sunset-Heights-Ct-92130/home/6621091,San Diego County's Regional Multiple Listing Service (SANDICOR),160024821,HomeSmart Realty West,N,Y,32.959027,-117.215818,false
MLS Listing,Single Family Residential,5191 Del Mar Mesa,San Diego,CA,92130,2199000,3,2.0,Carmel Valley,1656,43560,1970,12,Garage,45,Active,,,,,2199000,2008-02-20,1300000.0,http://www.redfin.com/CA/San-Diego/5191-Del-Mar-Mesa-Rd-92130/home/4498479,San Diego County's Regional Multiple Listing Service (SANDICOR),160022008,Pacific Shore Platinum,N,Y,32.939362,-117.206775,false
New Construction Home,Single Family Residential,6698 Torenia Trl,San Diego,CA,92130,855000,4,3.0,Canterra,2432,,2016,2,Garage,83,Active,,,,,855000,,,http://www.redfin.com/CA/San-Diego/6698-Torenia-Trl-92130/home/104214197,Builder Digital eXperience (BDX),1212377,NewHomeSource.com,N,Y,32.965194,-117.176861,false
MLS Listing,Single Family Residential,5537 Carriage Ct,San Diego,CA,92130,1399000,6,4.0,Carmel Valley,3731,7800,2001,8,Garage,20,Active,,,,,1399000,2014-06-30,1210000.0,http://www.redfin.com/CA/San-Diego/5537-Carriage-Ct-92130/home/6462738,San Diego County's Regional Multiple Listing Service (SANDICOR),160027452,Coldwell Banker Res. Brokerage,N,Y,32.9521153,-117.2017552,false
MLS Listing,Vacant Land,6905 The Preserve Ct (Unable to map),San Diego,CA,92130,2450000,0,,Carmel Valley,,37287,,0,,52,Active,,,,,2450000,,,http://www.redfin.com/CA/San-Diego/6905-The-Preserve-Ct-92130/home/104521811,San Diego County's Regional Multiple Listing Service (SANDICOR),160020714,Pacific Sotheby's Int'l Realty,N,Y,,,false
MLS Listing,Condo/Coop,5571 Corum Ct #15 (Unable to map),San Diego,CA,92130,933990,4,4.0,Carmel Valley,2595,,2016,2,Garage,61,Active,,,,,933990,,,http://www.redfin.com/CA/San-Diego/5571-Corum-Ct-92130/unit-15/home/104469173,San Diego County's Regional Multiple Listing Service (SANDICOR),160018973,"ColRich California Realty, Inc",N,Y,,,false
MLS Listing,Vacant Land,13165 Caminito Mendiola,San Diego,CA,92130,1100000,,,SD - San Diego,,446054,,0,,51,Active,,,,,1100000,,,http://www.redfin.com/CA/San-Diego/13165-Caminito-Mendiola-92130/home/104499479,California Real Estate Technology Services (CARETS),OC16081617,Equestrian Real Estate,N,Y,32.9574423,-117.1811501,false
